Sentence	initial_word	start_index	end_index	our_correction	gold_correction	ours_is_correct
In più la stanza è stata caldissima perchè l' aria condizionata non funzionava e fuori sono stati 35° C .	perchè	36	42	perché	perché	y
Adesso vorrei aggiungere i ragioni perchè vorrei lavorare nel Suo campo estivo o quali sono i ragioni perchè sarei adatto a questo lavoro .	perchè	35	41	perché	perché	y
Adesso vorrei aggiungere i ragioni perchè vorrei lavorare nel Suo campo estivo o quali sono i ragioni perchè sarei adatto a questo lavoro .	perchè	102	108	perché	perché	y
Penso che sia molto importante di sostenere tali progetti perchè noi in Europa abbiamo una vita splendida .	perchè	58	64	perché	perché	y
Penso che io sia adatto a questo progetto perchè mi interesso tantissimo per i problemi nel mondo .	perchè	42	48	perché	perché	y
Con un' altro gruppo abbiamo già guadagnato dei soldi avendo organizzato un concerto e dato il guadagno ai vittimi del Tsunami in Haiti .	un'	4	7	un	un	y
Durante la mia vita professionale ho sempre potuto applicare le mie conoscenze linguistiche nei servizi di vendità o di marketing .	vendità	107	114	vendita	vendita	y
Ho la possibilità di viaggiare ed io vorrei dare la mano a questo proggetto .	proggetto	66	75	progetto	progetto	y
Ho già un po di esperienza nel settore del mercato .	po	10	12	po	po'	n
Vorrei offrire la mia candidatura già per il terzo luglio , e che in questo tempo sto già in vacanze dal mio lavoro , avró disponibilità a participare nel vostro proggetto quasi due settimane .	proggetto	162	171	progetto	progetto	y
Magari posso imparare sempre qualcosa nuova li .	li	44	46	di	lì	n
Sono sicura che lavoro che noi possiamo fare davvero serve alla gente e spero tanto che aiuterá a finanzare proggetti di sviluppo in paesi più poveri .	aiuterá	88	95	aiuterà	aiuterà	y
Sono sicura che lavoro che noi possiamo fare davvero serve alla gente e spero tanto che aiuterá a finanzare proggetti di sviluppo in paesi più poveri .	finanzare	98	107	finanziare	finanziare	y
Sono sicura che lavoro che noi possiamo fare davvero serve alla gente e spero tanto che aiuterá a finanzare proggetti di sviluppo in paesi più poveri .	proggetti	108	117	progetti	progetti	y
Crispi 119 - 80127 Caserta 12345 Città X Maggio , 28 , 2010 Caro Giorgio , Ho letto la tua lettera e mi piascerebbe darti qualche consiglio : Hai fatto bene a cancellare tutti i numeri dei tuoi amici virtualli , perché secondo me la vera amicizia abbia bisogno di contatto fisico , cioè devi uscire con i tuoi amici , devi vivere il rapporto , la amicizia si basa nella confidenza , sentirsi ognitanto , aiutarsi quando c' è un problema e secondo me gli amici virtualli non possono offrirti questo , anzi perdi il tempo di trovare un amico reale .	piascerebbe	104	115	piacerebbe	piacerebbe	y
Crispi 119 - 80127 Caserta 12345 Città X Maggio , 28 , 2010 Caro Giorgio , Ho letto la tua lettera e mi piascerebbe darti qualche consiglio : Hai fatto bene a cancellare tutti i numeri dei tuoi amici virtualli , perché secondo me la vera amicizia abbia bisogno di contatto fisico , cioè devi uscire con i tuoi amici , devi vivere il rapporto , la amicizia si basa nella confidenza , sentirsi ognitanto , aiutarsi quando c' è un problema e secondo me gli amici virtualli non possono offrirti questo , anzi perdi il tempo di trovare un amico reale .	Hai	142	145	Hai	hai	n
Crispi 119 - 80127 Caserta 12345 Città X Maggio , 28 , 2010 Caro Giorgio , Ho letto la tua lettera e mi piascerebbe darti qualche consiglio : Hai fatto bene a cancellare tutti i numeri dei tuoi amici virtualli , perché secondo me la vera amicizia abbia bisogno di contatto fisico , cioè devi uscire con i tuoi amici , devi vivere il rapporto , la amicizia si basa nella confidenza , sentirsi ognitanto , aiutarsi quando c' è un problema e secondo me gli amici virtualli non possono offrirti questo , anzi perdi il tempo di trovare un amico reale .	virtualli	200	209	virtuali	virtuali	y
Crispi 119 - 80127 Caserta 12345 Città X Maggio , 28 , 2010 Caro Giorgio , Ho letto la tua lettera e mi piascerebbe darti qualche consiglio : Hai fatto bene a cancellare tutti i numeri dei tuoi amici virtualli , perché secondo me la vera amicizia abbia bisogno di contatto fisico , cioè devi uscire con i tuoi amici , devi vivere il rapporto , la amicizia si basa nella confidenza , sentirsi ognitanto , aiutarsi quando c' è un problema e secondo me gli amici virtualli non possono offrirti questo , anzi perdi il tempo di trovare un amico reale .	virtualli	460	469	virtuali	virtuali	y
Ti lascio il mio numero di telefono , così un giorno possiamo andare a bere un caffé e sarebbe bello cominciare una amicizia .	caffé	79	84	caffè	caffè	y
Di più , lo scopo de la vostra organisazione lo trovo molto morale e salutario .	de	18	20	e	della	n
Di più , lo scopo de la vostra organisazione lo trovo molto morale e salutario .	la	21	23	la	della	n
Di più , lo scopo de la vostra organisazione lo trovo molto morale e salutario .	organisazione	31	44	organizzazione	organizzazione	y
La gente privilegia una vittà rica e autonoma .	rica	30	34	ricca	ricca	y
Penso che la societa sia formata così , anch' io avevo quel pensiero ma quando sono andato in viaggio in Africa , mi sono riso conto che siamo privilegiati , tutti noi che viviamo in uno stato senza dittatura e dove esiste una copertura malattia sociale .	societa	13	20	società	società	y
Se fatte lo scelto di un altro candidato , lo capiro viste le mie poche esperienze .	capiro	46	52	capivo	capirò	n
Solidarietà Viva Viale Bruzzi 117 21023 Milano Lougano 28.5.2010 Egregi Signori Ho letto il vostro annuncio e l' ho trovato molto interessante e anche con un' obiettivo veramente nobile .	Lougano	47	54	Lugano	Lugano	y
Ho alcune esperienze nel campo dei materiale riciclabile , quando da giovani ho fatto un corso per imparare come possiamo aiutare la natura e anche l' economia del paese riciclando quele materiale che qualche volte a tanta gente sembrano inutile .	quele	181	186	quel	quelle	n
Inoltre , come brasiliana e sapendo che il progetto aiuta a finanziare grupi con scopo di sviluppamento in America latina , mi sento ancora più felice e soddisfata di poter partecipare .	grupi	71	76	gruppi	gruppi	y
Inoltre , come brasiliana e sapendo che il progetto aiuta a finanziare grupi con scopo di sviluppamento in America latina , mi sento ancora più felice e soddisfata di poter partecipare .	soddisfata	153	163	soddisfatta	soddisfatta	y
Ammettéro volentieri ogni forma di lavorazione (anche gratuito ) perché vale per me tanto trovarmi nel mondo di moda .	Ammettéro	0	9	Ammetto	Ammetterò	n
Resto in attesa del Vostro risposto il più volentieri tramite l' inernet sull' indirizzo maria .rossi@internet.it .	inernet	65	72	internet	internet	y
Due anni fà mi sono diplomata nel " gymnasium " che corrisponde al liceo .	fà	9	11	fa	fa	y
Dopo il diploma mi sono escritta ad un' academia linguistica dove studio l' inglese e l' italiano .	academia	40	48	accademia	accademia	y
Perció penso che forse uno stage in Italia sia proprio il modo giusto e una buonissima opportunità per migliorare .	Perció	0	6	Perciò	Perciò	y
UniCredit Banca Dipartamento di Personale Piazza Cordusio 20123 Milano Michele Rossi Strada Maggiore 1 12345 Città X 4 Ottobre 2010 Oggetto : Posibilitta di svolgiere uno stage ad UniCredit Banca questo estate Alla atenzione dell Dipartamento di personale : Sono un studente aggettivo di nazionalità X .	Posibilitta	142	153	Possibilità	Possibilità	y
UniCredit Banca Dipartamento di Personale Piazza Cordusio 20123 Milano Michele Rossi Strada Maggiore 1 12345 Città X 4 Ottobre 2010 Oggetto : Posibilitta di svolgiere uno stage ad UniCredit Banca questo estate Alla atenzione dell Dipartamento di personale : Sono un studente aggettivo di nazionalità X .	svolgiere	157	166	svolgere	svolgere	y
UniCredit Banca Dipartamento di Personale Piazza Cordusio 20123 Milano Michele Rossi Strada Maggiore 1 12345 Città X 4 Ottobre 2010 Oggetto : Posibilitta di svolgiere uno stage ad UniCredit Banca questo estate Alla atenzione dell Dipartamento di personale : Sono un studente aggettivo di nazionalità X .	Alla	210	214	Alla	All'	n
UniCredit Banca Dipartamento di Personale Piazza Cordusio 20123 Milano Michele Rossi Strada Maggiore 1 12345 Città X 4 Ottobre 2010 Oggetto : Posibilitta di svolgiere uno stage ad UniCredit Banca questo estate Alla atenzione dell Dipartamento di personale : Sono un studente aggettivo di nazionalità X .	atenzione	215	224	attenzione	attenzione	y
Mi sono laureato recentemente in Economia e Sociologia alla Universita di Città Y .	alla	55	59	all	all'	n
I miei risultati finali devono essere valuttati in sieme a un proggietto di fine laurea da svilupare in un ditta dalla mia scelta .	valuttati	38	47	valutati	valutati	y
I miei risultati finali devono essere valuttati in sieme a un proggietto di fine laurea da svilupare in un ditta dalla mia scelta .	in	48	50	in	insieme	n
I miei risultati finali devono essere valuttati in sieme a un proggietto di fine laurea da svilupare in un ditta dalla mia scelta .	sieme	51	56	siede	insieme	n
I miei risultati finali devono essere valuttati in sieme a un proggietto di fine laurea da svilupare in un ditta dalla mia scelta .	proggietto	62	72	progetto	progetto	y
Pur troppo , devo lavorare e completare il mio proggieto nelle prossime tre mesi .	Pur	0	3	Pure	Purtroppo	n
Pur troppo , devo lavorare e completare il mio proggieto nelle prossime tre mesi .	troppo	4	10	troppo	Purtroppo	n
Pur troppo , devo lavorare e completare il mio proggieto nelle prossime tre mesi .	proggieto	47	56	progetto	progetto	y
Ho leto con interesse che UniCredit Banca a aperto nuove uffici a Città Y .	a	42	43	ha	ha	y
Per questo motivo la scrivo questa lettera per chiedere la possibilità di fare un periodo di stage per i prossimi tre messi .	messi	118	123	mesi	mesi	y
Logicamente , questo stage non dovrebbe essere rimunerato visto che il mio interesse e solamente abbere sperienza pratica nell settore bancario e completare la mia laurea con il mio proggieto finale .	e	85	86	è	è	y
Logicamente , questo stage non dovrebbe essere rimunerato visto che il mio interesse e solamente abbere sperienza pratica nell settore bancario e completare la mia laurea con il mio proggieto finale .	proggieto	182	191	progetto	progetto	y
Se fosse posibile , sarebbe molto interessato nell' ambito della banca sull' internet .	posibile	9	17	possibile	possibile	y
Sono disposto comunque a discutere questo e altri aspeti che possa abbere sulla mia domanda quando lui preferisca .	aspeti	50	56	aspetti	aspetti	y
In attessa della sua risposta e ringraziandola sinceramente per il suo interesse , porgo .	attessa	3	10	attesa	attesa	y
LARGO CACCIARI , 7 A 43100 PARMA UFFICO DEL PERSONALE OGGETTO : Richiesta per uno stage Egregio Signore , Sono un studente in una scuola di commercio nella città di Città X e sarei molto interessato di fare uno stage nella vostra societa .	societa	230	237	società	società	y
Conosco molto bene la Metro Italia perche ho gia avuto l' opportunità di lavorare in altri gruppi di grande distribuzione come Carrefour o Auchan .	perche	35	41	perché	perché	y
Conosco molto bene la Metro Italia perche ho gia avuto l' opportunità di lavorare in altri gruppi di grande distribuzione come Carrefour o Auchan .	gia	45	48	già	già	y
Ho imparato l' italiano durante due anni e posso essere a Parma per lavorare nella vostra ditta dal 30 gugnio prossimo al 30 settembre .	gugnio	103	109	giugno	giugno	y
Le sarei grato se potesse rispondermi per poter organizare il mio viaggio e l' albergho .	organizare	48	58	organizzare	organizzare	y
Le sarei grato se potesse rispondermi per poter organizare il mio viaggio e l' albergho .	albergho	79	87	albergo	albergo	y
Gradisca i miei piu distinti saluti .	piu	16	19	più	più	y
la realtà che ho incontrata lì è stata molto diversa dei informazioni contenute nella vostra publicità : la residence non è proprio moderna , anzi è molto vecchia , l' aria condizionata non funzionava (e sapete che in agosto , fa molto caldo e anche a volte umido ) , e la piscina era sempre sovraffolata .	publicità	93	102	pubblicità	pubblicità	y
Soliderietà Viva Viale Bruzzo 117 21023 Milano Concerne : richiesta lavoro pesso della vostra azienda .	Soliderietà	0	11	Solidarietà	Solidarietà	y
La mia lingua madre e aggettivo di nazionalità .	e	20	21	e	è	n
Sono una persona molto socievole e mi piaciono le publiche relazioni .	piaciono	38	46	piacciono	piacciono	y
Sono una persona molto socievole e mi piaciono le publiche relazioni .	publiche	50	58	pubbliche	pubbliche	y
Scrivo alla vostra azienda perche sono alla ricerca di un lavoro " part-taime " e ho tanto tempo da disposizione .	perche	27	33	perché	perché	y
Scrivo alla vostra azienda perche sono alla ricerca di un lavoro " part-taime " e ho tanto tempo da disposizione .	part-taime	67	77	Partitine	time	n
Ritengo di essere una persona adatta per lavorare nella vostra societa Solidarieta Viva .	societa	63	70	società	società	y
Ritengo di essere una persona adatta per lavorare nella vostra societa Solidarieta Viva .	Solidarieta	71	82	solidarietà	Solidarietà	n
Mi piacerebbe essere inserita per ofrire il mio aiuto .	ofrire	34	40	aprire	offrire	n
Per me andrebbe bene essere inserita dal lunedi al venerdi sempre orari stessi nel pomeriggio dalle 15.00 (quindici ) fino alle 20.00 (venti ) .	lunedi	41	47	lunedì	lunedi	n
Per me andrebbe bene essere inserita dal lunedi al venerdi sempre orari stessi nel pomeriggio dalle 15.00 (quindici ) fino alle 20.00 (venti ) .	venerdi	51	58	venerdì	venerdì	y
Ho svolto gia il questo tipo di lavoro e ho ottime referenze .	gia	10	13	sia	già	n
La mia proffessione à banchiere .	proffessione	7	19	professione	professione	y
La mia proffessione à proprio una di quelle che sanno come comportarsi con il denaro .	proffessione	7	19	professione	professione	y
L' anno passato sono stata ad un campo di lavoro , è la ho conosciuto tante persone che erano molto brave è hanno riuscito di raccogliere cento milla dollari .	è	51	52	e	e	y
L' anno passato sono stata ad un campo di lavoro , è la ho conosciuto tante persone che erano molto brave è hanno riuscito di raccogliere cento milla dollari .	è	106	107	e	e	y
In questi dieci giorni vedrò di venire all quinto giorno è resterò circa due giorni .	all	39	42	al	al	y
In questi dieci giorni vedrò di venire all quinto giorno è resterò circa due giorni .	è	57	58	a	e	n
Sarò grada a venire a lavorare è anche a dare consingli dei problemi che ci sono in questi paesi .	è	31	32	e	e	y
Sarò grada a venire a lavorare è anche a dare consingli dei problemi che ci sono in questi paesi .	consingli	46	55	consigli	consigli	y
Questi problemi si devono staccare dall fondo .	dall	35	39	dal	dal	y
Ho già in mente tre soluzioni per fare un bum di economia in Asia .	bum	42	45	bug	boom	n
Spero che queste cose che ho in mente sarrano le cose giuste per dare un pezzeto di forza per svilluppare i paesi .	pezzeto	73	80	pezzo	pezzetto	n
Spero che queste cose che ho in mente sarrano le cose giuste per dare un pezzeto di forza per svilluppare i paesi .	svilluppare	94	105	sviluppare	sviluppare	y
Solo tutti asieme potremo fare una vera giusta è lella cosa .	asieme	11	17	insieme	assieme	n
Solo tutti asieme potremo fare una vera giusta è lella cosa .	è	47	48	e	e	y
Ancòra una volta le ringrazio per questo invito , sono molto felice quando si tratta di aiutare a qualcuno .	Ancòra	0	6	Ancora	Ancora	y
A tràpoco ci vediamo all 8 luglio invia : Maria Rossi Strada Maggiore 17 12345 Città X	tràpoco	2	9	poco	tra poco	n
A tràpoco ci vediamo all 8 luglio invia : Maria Rossi Strada Maggiore 17 12345 Città X	all	21	24	al	l'	n
Ho anche la licencia la guida della città .	licencia	12	20	licenza	licenza	y
Grazie a Vostra lavorato conocserei le altre culture , le gentile persone , paese .	conocserei	25	35	conoscere	conoscerei	n
Nella Vostra ditta l' atmosfera tra i coleghi è simpatica .	coleghi	38	45	colleghi	colleghi	y
Lavorando nella Vostra ditta , farrei ciò che amo .	farrei	31	37	farei	farei	y
Distinti Saluti Maria Rossi	Saluti	9	15	saluti	saluti	y
Vi scrivo perché avevo prenotato una vacanza In Vostro villagio turistico nel Residente del Lago .	In	45	47	in	in	y
Vi scrivo perché avevo prenotato una vacanza In Vostro villagio turistico nel Residente del Lago .	villagio	55	63	villaggio	villaggio	y
Vi scrivo perché avevo prenotato una vacanza In Vostro villagio turistico nel Residente del Lago .	Residente	78	87	residence	Residence	n
L' annuncio era molto intereserante e semprava che sia un bel posto .	semprava	38	46	sembrava	sembrava	y
Tutto e diverso .	e	6	7	è	è	y
C' e anche la piscina con ampio solarium dotato di sdraio e ombrelloni , campi da tennis ed anche ci sono tante animazione .	e	3	4	è	è	y
Secondo me non avete scritto la verita .	verita	32	38	verità	verità	y
Il Vostro residence à molto vecchio , l' aria condizionata non funziona , è rotta , Nel camera fa caldo da morire .	Nel	84	87	nel	nel	y
Non posso giocare a tenis perche il Vostri campi da tennis sono chiusi , per riparazione .	perche	26	32	perché	percé	n
Non posso nuotare in piscina perche la e sempre sovraffolata .	perche	29	35	perché	perchè	n
Non posso nuotare in piscina perche la e sempre sovraffolata .	e	39	40	ex	è	n
Non posso nuotare in piscina perche la e sempre sovraffolata .	sovraffolata	48	60	sovraffollato	sovraffolata	n
Vi organiziate solo una per la settimana .	organiziate	3	14	organizzate	organizzate	y
secondo me dovete fare lo sconto per me .	secondo	0	7	Secondo	Secondo	y
Mi dispiace ma siete bugardi .	bugardi	21	28	bugiardi	bugiardi	y
Non direte la verita .	verita	14	20	verità	verità	y
Non interesate se una persona sarà contenta oppure scontenta .	interesate	4	14	interessante	interessate	n
Vi mando il mio numero di banca dove pottete rimandarmi i miei soldi .	pottete	37	44	potrete	potete	n
Solidarieta Viva Sono di nazionalità aggettivo di nazionalità X nato il DDMMYY nelle Paese X dove ho conseguito il diploma in economia al Università del Est , nel 1981 .	Solidarieta	0	11	Solidarietà	Solidarietà	y
Al età di 24 nel 1984 , sono emigrato in Paese Y (a Città Y ) dove risiedo fino ad oggi .	Al	0	2	L	All'	n
Ciò che mi ha spinto di avviare la mia candidatura come auitante , è la consapevolezza del valere delle mie precedenti esperienze lavorative , e l' importanza delle mie competenze linguistiche : italiano , inglese e tedesco .	auitante	56	64	aiutante	aiutante	y
Vorrei utilizzare questo tempo libero in modo prodottivo anziche andare in vacanza .	anziche	57	64	anziché	anziché	y
Non ho lavorato per tanto tempo perchè è nato nostro figlio .	perchè	32	38	perché	perché	y
L' anno scorso ho frequentato due seminari su agricoltura alternativa in Africa alla Università di Città Y . Anche ho fatto un tiroccinio presso Unicef in Africa .	tiroccinio	127	137	tirocinio	tirocinio	y
Quest estate sono libera in luglio e agosto e potrei aiutare nei campi estivi .	Quest	0	5	Questa	Quest'	n
Perchè è molto importante dare aiuto ai paesi poveri .	Perchè	0	6	Perché	Perché	y
Marzo 2011 Lettere personali Giorgio Settimana Giovani Via Crispi 119 80127 Caserta Oggetto : Amici virtuali Caro Giorgio Benche io abbia non mai avuto delle amicizie virtuali ho letto le tue righe con grande interesse .	Benche	122	128	Benché	Benché	y
Non potrei imaginarmi di scrivere , di parlare , o anche di lottare con una persona che ho visto mai , anche se è un pensiero interessante .	imaginarmi	11	21	immaginarmi	immaginarmi	y
Il fatto che non si puo essere sicuri chi e ad altra parte non mi piace .	puo	20	23	può	può	y
Il fatto che non si puo essere sicuri chi e ad altra parte non mi piace .	e	42	43	o	è	n
Secondo me l' internet e una fortuna e un fastidio .	e	23	24	è	è	y
E stato giusto che l' hai lasciato ma e importante che tu informa l' altri .	e	38	39	è	è	y
Al' inizio era un' esperienza molto bella perché ho ricevuto tanti messaggini e notizie e ho incontrato anche vecchi amici dallo studio .	Al'	0	3	All'	All'	y
Se avessi saputo come questa portale sviluperà non avrei mai scelto questa possibilità per contattare i miei amici .	sviluperà	37	46	svilupperà	svilupperà	y
Una possibilità di cambiare il tuo problema potrebbe essere di contattare una spezzialista per il tuo cellulare .	spezzialista	78	90	specialista	specialista	y
Lavoro come impiegata commerciale presso una dittà che produce vetro speciale .	dittà	45	50	ditta	ditta	y
L' anno scorso mi sono laureata in Economia e Commercio presso l' Universitá di Scienze Economiche a Città Y .	Universitá	66	76	Università	Università	y
Sono convinta che una tale esperienza mi aiuti molto nel lavoro che assumeró in autunno in Paese X .	assumeró	68	76	assumerà	assumerò	n
Questo lavoro non é interessante per me , perciò qualche tempo fa ho deciso di cambiare tutta la mia vita .	é	18	19	è	è	y
Vorrei fare uno stage nella Loro società , cercho di lavorare il meglio possibile .	cercho	43	49	cerco	cerco	y
Amo i viaggi in bicichletta .	bicichletta	16	27	bicicletta	bicicletta	y
Il mio titolo di studio é l' insegnante e per questo motivo mi piace lavorare anche con i bambini , organizzare le gite e l' altro divertimento .	é	24	25	e	è	n
Ho sentito dire , che la Loro società é molto piacevole per i lavoratori e da tanta sodisfazione del lavoro .	é	38	39	è	è	y
Ho sentito dire , che la Loro società é molto piacevole per i lavoratori e da tanta sodisfazione del lavoro .	sodisfazione	84	96	soddisfazione	soddisfazione	y
Strada Maggiore 6 12345 Città X Dipartimento di Linguistica Teorica e Applicata a Pavia Signiora Gabriella Favati , mi chiamo Maria Rossi , sono di Città X .	Signiora	88	96	Signora	Signora	y
Studio la lingua italiana da anni , perchè ho la famiglia in Italia , e da bambina ero sempre legata all' italiano .	perchè	36	42	perché	perché	y
Ma lo faccio anché ascoltando la musica italiana e leggere giornali italiani .	anché	13	18	anche	anche	y
Attualmente non la uso tanto , perchè di solito sono in Paese X e studio .	perchè	31	37	perché	perché	y
In questo modo anché se non viaggio in Italia ho contatto con lingua .	anché	15	20	anche	anche	y
Maria Rossi Solidarietà Viva Strada Maggiore 17 Viale Bruzzi 117 12345 Città X 21203 Milano Alla cortese attenzione del Direttore Vostra riferimento : Annuncio rif : 455672 Città X , 17 dicembre 2010 Oggetto : Candidatura per una posizione In riferimento al Vostro anuncio comparso sul quotidiano " La Reppublica " del 10 dicembre 2010 , vorrei sottoporre alla Vostra attenzione la mia candidatura per una posizione in uno dei campi estivi di Solidarietà Viva .	anuncio	265	272	annuncio	annuncio	y
Maria Rossi Solidarietà Viva Strada Maggiore 17 Viale Bruzzi 117 12345 Città X 21203 Milano Alla cortese attenzione del Direttore Vostra riferimento : Annuncio rif : 455672 Città X , 17 dicembre 2010 Oggetto : Candidatura per una posizione In riferimento al Vostro anuncio comparso sul quotidiano " La Reppublica " del 10 dicembre 2010 , vorrei sottoporre alla Vostra attenzione la mia candidatura per una posizione in uno dei campi estivi di Solidarietà Viva .	Reppublica	302	312	repubblica	Repubblica	n
Sono disponibile per un lavoro a tempo pieno a Milano e a l' estero .	a	56	57	al	all'	n
Sono disponibile per un lavoro a tempo pieno a Milano e a l' estero .	l'	58	60	l'	all'	n
Ventidue di gennaio duemillaundici Giorgio Settimana Giovani via F.	duemillaundici	20	34	duemiladodici	duemilaundici	n
Anche io ho avuto esperienza cattiva usando l' Internet chercando amizia .	chercando	56	65	cercando	cercando	y
Molto spesso le persone che hanno un acount sul Internet non esistono .	acount	37	43	account	account	y
En " Friendscout24 " ho avuto un acount per conoscere nuova gente .	acount	33	39	account	account	y
Penso che forse la azienda va acount di donne attraente e usa delle foto di modele .	acount	30	36	account	account	y
Penso che forse la azienda va acount di donne attraente e usa delle foto di modele .	modele	76	82	modelle	modelle	y
Queste modele son sanno nulla di questo .	modele	7	13	modelle	modelle	y
Se risciva una risposta di una donna , può anche essere che qualcuno dela azienda ha enviato la risposta .	dela	69	73	del	della	n
Il mio consiglio per Lei è lasciare tutto il contatto con tutte le persone che ha conosciutto nel Internet .	conosciutto	82	93	conosciuto	conosciuto	y
È meglio andare in un bar per chercare amizia o una donna per sposare .	chercare	30	38	cercare	cercare	y
Signora Gabriella Favati Dip . di Linguistica Applicata Università degli Studi di Pavia Corso Strada Nuova , 65 27100 Pavia Italia Maria Rossi Strada Maggiore 65 12345 Città X Paese X Città X , 31 di marzo 2011 Oggetto : Apprendimento delle lingue straniere Egrega Signora Favati La mia scuola di lingua dove imparo l' italiano come lingua straniera mi ha dato la Sua lettera con i detagli sulla Sua ricerca .	Egrega	258	264	Egregia	Egregia	y
Signora Gabriella Favati Dip . di Linguistica Applicata Università degli Studi di Pavia Corso Strada Nuova , 65 27100 Pavia Italia Maria Rossi Strada Maggiore 65 12345 Città X Paese X Città X , 31 di marzo 2011 Oggetto : Apprendimento delle lingue straniere Egrega Signora Favati La mia scuola di lingua dove imparo l' italiano come lingua straniera mi ha dato la Sua lettera con i detagli sulla Sua ricerca .	detagli	382	389	dettagli	dettagli	y
L' uso delle lingue straniere Utilizzo l' italiano al lavoro per parlare con i colleghi ticinesci e anche per comprendre meglio gli interventi dei delegati di lingua italiana nei riunioni di lavoro .	ticinesci	88	97	cinesi	ticinesi	n
Sempre mi ha piaciutto di effettuare un soggiorno linguistico nei diversi paesi .	piaciutto	13	22	piaciuto	piaciuto	y
Siccome io sono una persona molto sportiva durante le mie vacanze in quel residence ho sofferto moltissimo , perché non ho potuto ne giocare a tennis ne andare a fare le mie 30 vasce al giorno nella piscina .	vasce	177	182	vasche	vasche	y
Michele Rossi Strada Maggiore 54 12345 Città X Città X , 15 aprile 2011 Spett.le ditta " Residence del Lago " Alla cortese attenzione del Direttore Via Borghese 532 CH - 00432 Lugano Oggetto : Lettera di reclamo ; Egregio Signor Direttore , nell' acquistare il pachetto turistico " Sport e relax al Residence del Lago " per il periodo da 10 a 15 marzo 2011 , ho avuta fiducia nei colloqui avuti con Lei e nelle informazioni ricevuti dai Suoi colaboratori , confidando in particolare sulla serietà della Sua azienda .	pachetto	261	269	pacchetto	pacchetto	y
Michele Rossi Strada Maggiore 54 12345 Città X Città X , 15 aprile 2011 Spett.le ditta " Residence del Lago " Alla cortese attenzione del Direttore Via Borghese 532 CH - 00432 Lugano Oggetto : Lettera di reclamo ; Egregio Signor Direttore , nell' acquistare il pachetto turistico " Sport e relax al Residence del Lago " per il periodo da 10 a 15 marzo 2011 , ho avuta fiducia nei colloqui avuti con Lei e nelle informazioni ricevuti dai Suoi colaboratori , confidando in particolare sulla serietà della Sua azienda .	colaboratori	442	454	collaboratori	collaboratori	y
Purtroppo , posso affirmare chiaramente che ci sono molte differenze tra la realtà incontrata al Residence del Lago durante il nostro soggiorno e le informazioni ricevute anche per l' annuncio publicato sul quotidiano " La Nazione " del 21 febbraio 2011 .	publicato	193	202	pubblicato	pubblicato	y
Questa realtà comprendeva un residence vecchio , senza l' aria condizionata , con la piscina sempre sovraffollata , i campi di tennis sono stati in reparazzione tutto il nostro soggiorno , e per l' animazione che si può dire : soltanto una sola serata organizata tutta la settimana !	reparazzione	148	160	preparazione	re(i)parazione	n
Questa realtà comprendeva un residence vecchio , senza l' aria condizionata , con la piscina sempre sovraffollata , i campi di tennis sono stati in reparazzione tutto il nostro soggiorno , e per l' animazione che si può dire : soltanto una sola serata organizata tutta la settimana !	organizata	252	262	organizzata	organizzata	y
Per tutto quanto sopra sono costretto a richiederLe un Suo immediato intervento per un rimborso parziale del ammontare pagato per questo pachetto turistico , se in diffeto , sarei costreto ad adire le vie legali per soluzionare la mia richiesta .	pachetto	137	145	pacchetto	pacchetto	y
Per tutto quanto sopra sono costretto a richiederLe un Suo immediato intervento per un rimborso parziale del ammontare pagato per questo pachetto turistico , se in diffeto , sarei costreto ad adire le vie legali per soluzionare la mia richiesta .	diffeto	164	171	difetto	difetto	y
Per tutto quanto sopra sono costretto a richiederLe un Suo immediato intervento per un rimborso parziale del ammontare pagato per questo pachetto turistico , se in diffeto , sarei costreto ad adire le vie legali per soluzionare la mia richiesta .	costreto	180	188	costretto	costretto	y
Invece di passare il tempo gioccando a tennis oppure nuotando , dovevo rimanere al bar (l' unico posto che era aperto in villaggio ) .	gioccando	27	36	giocando	giocando	y
2 ) Il Residence si trova nelle vicinanze di lago che si raggiunge comodamente con i mezzi pubblici - invece no! - il lago è lontano e quasi impossibile trovare i mezzi publici perché la più vicina ferrata dei pulman si trova quasi 5 km da residence e certamente bisogna andarci a piedi e poi il pulman passa solo due volte al giorno : la mattina presto e pomeriggio .	publici	169	176	pubblici	pubblici	y
2 ) Il Residence si trova nelle vicinanze di lago che si raggiunge comodamente con i mezzi pubblici - invece no! - il lago è lontano e quasi impossibile trovare i mezzi publici perché la più vicina ferrata dei pulman si trova quasi 5 km da residence e certamente bisogna andarci a piedi e poi il pulman passa solo due volte al giorno : la mattina presto e pomeriggio .	pulman	210	216	pullman	pullman	y
2 ) Il Residence si trova nelle vicinanze di lago che si raggiunge comodamente con i mezzi pubblici - invece no! - il lago è lontano e quasi impossibile trovare i mezzi publici perché la più vicina ferrata dei pulman si trova quasi 5 km da residence e certamente bisogna andarci a piedi e poi il pulman passa solo due volte al giorno : la mattina presto e pomeriggio .	pulman	296	302	pulmino	pullman	n
3 ) Gli appartamenti (che in ralta assomiliano le camerette molto strette ) dovevano avere l' aria condizionata e l' aria non c' era .	ralta	29	34	alta	realtà	n
3 ) Gli appartamenti (che in ralta assomiliano le camerette molto strette ) dovevano avere l' aria condizionata e l' aria non c' era .	assomiliano	35	46	assimilano	assomigliano	n
